2025-01-01 00:00:00,AA,17,968,-20.0,-5.0,0.0,25.0,74.0,762.0
2025-01-01 00:00:00,AA,22,559,-15.0,-4.0,2.0,21.0,66.0,953.0
2025-01-01 00:00:00,DL,0,12,-14.0,-9.0,-5.0,2.0,19.0,23.0
2025-01-01 00:00:00,DL,10,945,-22.0,-6.0,-2.0,7.0,34.0,310.0
2025-01-01 00:00:00,DL,12,1043,-21.0,-5.0,-1.0,13.0,43.0,1113.0
2025-01-01 00:00:00,DL,13,891,-16.0,-5.0,-1.0,14.0,42.0,1051.0
2025-01-01 00:00:00,DL,18,977,-20.0,-5.0,0.0,17.0,55.0,947.0
2025-01-01 00:00:00,DL,19,839,-22.0,-5.0,2.0,22.0,60.0,906.0
2025-01-01 00:00:00,DL,20,500,-15.0,-4.0,2.0,21.0,49.0,762.0
2025-01-01 00:00:00,DL,21,582,-18.0,-4.0,0.0,16.0,44.0,659.0
2025-01-01 00:00:00,UA,1,7,-16.0,-15.0,4.0,29.0,57.0,57.0
2025-01-01 00:00:00,UA,5,304,-18.0,-7.0,-4.0,0.0,12.0,777.0
2025-01-01 00:00:00,UA,7,1185,-13.0,-6.0,-3.0,3.0,31.0,743.0
2025-01-01 00:00:00,UA,11,810,-15.0,-4.0,1.0,23.0,64.0,450.0
2025-01-01 00:00:00,UA,16,918,-14.0,-4.0,1.0,21.0,65.0,447.0
2025-01-01 00:00:00,WN,19,1370,-17.0,-2.0,10.0,34.0,68.0,326.0
2025-01-01 00:00:00,WN,20,1501,-15.0,0.0,13.0,37.0,73.0,341.0
2025-01-01 00:00:00,WN,21,689,-19.0,0.0,15.0,44.0,71.0,245.0
2025-01-08 00:00:00,AA,11,979,-15.0,-5.0,-1.0,13.0,51.0,1490.0
2025-01-08 00:00:00,AA,12,818,-17.0,-5.0,0.0,15.0,59.0,2646.0
2025-01-08 00:00:00,AA,14,914,-20.0,-5.0,-1.0,16.0,56.0,1311.0
2025-01-08 00:00:00,AA,16,867,-19.0,-5.0,-2.0,13.0,54.0,1424.0
2025-01-08 00:00:00,AA,17,967,-21.0,-6.0,-1.0,15.0,59.0,992.0
2025-01-08 00:00:00,AA,21,511,-19.0,-4.0,-1.0,17.0,50.0,1147.0
2025-01-08 00:00:00,AA,22,405,-17.0,-7.0,-3.0,6.0,39.0,477.0
2025-01-08 00:00:00,DL,7,1432,-23.0,-7.0,-3.0,3.0,39.0,915.0
2025-01-08 00:00:00,DL,10,858,-19.0,-5.0,-1.0,16.0,63.0,669.0
2025-01-08 00:00:00,DL,23,145,-22.0,-6.0,-3.0,8.0,50.0,133.0
2025-01-08 00:00:00,UA,0,21,-11.0,-9.0,-6.0,-1.0,11.0,13.0
