timestamp_utc,experiment,query,job_name,job_id,vertex_name,metric_id,operator,window,is_total,numLateRecordsDropped
2026-07-18T17:38:17+00:00,k4_p4_tm2,q1,insert-into_default_catalog.default_database.q1_results,3cb04974d63a911516b563e253de0fe3,,TOTAL,,all_operators,true,0
2026-07-18T17:40:42+00:00,k4_p4_tm2,q2,insert-into_default_catalog.default_database.q2_csv_1h,a3d107dbe90b3a22faa99e5872e2fb52,GlobalWindowAggregate[5] -> Calc[6],GlobalWindowAggregate[5].numLateRecordsDropped,GlobalWindowAggregate[5],1h,false,0
2026-07-18T17:40:42+00:00,k4_p4_tm2,q2,insert-into_default_catalog.default_database.q2_csv_1h,a3d107dbe90b3a22faa99e5872e2fb52,WindowRank[8] -> Calc[9] -> PythonCalc[10] -> StreamingFileWriter -> end: Writer,WindowRank[8].numLateRecordsDropped,WindowRank[8],1h,false,0
2026-07-18T17:40:42+00:00,k4_p4_tm2,q2,insert-into_default_catalog.default_database.q2_csv_1h,a3d107dbe90b3a22faa99e5872e2fb52,,TOTAL,,all_operators,true,0
2026-07-18T18:59:50+00:00,k4_p1_tm1,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",2293e4e56f2fb7b199340d6cb9a0cb82,"Q3Window[1d] -> (Map, Q3LateDrops[1d] -> *anonymous_datastream_source$2*[4] -> q3_blackhole_1d[5]: Writer, *anonymous_datastream_source$3*[6] -> StreamingFileWriter -> end: Writer)",Map__Q3LateDrops[1d].numRecordsIn,Map__Q3LateDrops[1d],1d,false,0
2026-07-18T18:59:50+00:00,k4_p1_tm1,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",2293e4e56f2fb7b199340d6cb9a0cb82,,TOTAL,,all_operators,true,0
2026-07-18T19:05:50+00:00,k4_p2_tm1,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",e02e9f210ededb50459335bfc6a0f168,"Q3Window[1d] -> (Map, Q3LateDrops[1d] -> *anonymous_datastream_source$2*[4] -> q3_blackhole_1d[5]: Writer, *anonymous_datastream_source$3*[6] -> StreamingFileWriter)",Map__Q3LateDrops[1d].numRecordsIn,Map__Q3LateDrops[1d],1d,false,0
2026-07-18T19:05:50+00:00,k4_p2_tm1,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",e02e9f210ededb50459335bfc6a0f168,,TOTAL,,all_operators,true,0
2026-07-18T19:11:04+00:00,k4_p4_tm1,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",60a46bd367e5153889bcb22634977955,"Q3Window[1d] -> (Map, Q3LateDrops[1d] -> *anonymous_datastream_source$2*[4] -> q3_blackhole_1d[5]: Writer, *anonymous_datastream_source$3*[6] -> StreamingFileWriter)",Map__Q3LateDrops[1d].numRecordsIn,Map__Q3LateDrops[1d],1d,false,0
2026-07-18T19:11:04+00:00,k4_p4_tm1,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",60a46bd367e5153889bcb22634977955,,TOTAL,,all_operators,true,0
2026-07-18T19:17:07+00:00,k4_p2_tm2,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",506b04a9419bb7e4ea6a25cc2753fccc,"Q3Window[1d] -> (Map, Q3LateDrops[1d] -> *anonymous_datastream_source$2*[4] -> q3_blackhole_1d[5]: Writer, *anonymous_datastream_source$3*[6] -> StreamingFileWriter)",Map__Q3LateDrops[1d].numRecordsIn,Map__Q3LateDrops[1d],1d,false,0
2026-07-18T19:17:07+00:00,k4_p2_tm2,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",506b04a9419bb7e4ea6a25cc2753fccc,,TOTAL,,all_operators,true,0
2026-07-18T19:22:29+00:00,k4_p4_tm2,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",00db3449fbe75e0e6d2fe41bdc1301ab,"Q3Window[1d] -> (Map, Q3LateDrops[1d] -> *anonymous_datastream_source$2*[4] -> q3_blackhole_1d[5]: Writer, *anonymous_datastream_source$3*[6] -> StreamingFileWriter)",Map__Q3LateDrops[1d].numRecordsIn,Map__Q3LateDrops[1d],1d,false,0
2026-07-18T19:22:29+00:00,k4_p4_tm2,q3,"insert-into_default_catalog.default_database.q3_blackhole_1d,default_catalog.default_database.q3_csv_1d",00db3449fbe75e0e6d2fe41bdc1301ab,,TOTAL,,all_operators,true,0
