ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-01-01 07:00:00,1,14747,30,4,8.3,215.0,"[(DL,10721,215.00),(AS,13342,54.00),(DL,12173,43.00),(DL,13303,34.00)]"
2025-01-01 07:00:00,2,13930,41,2,-1.2682926829268293,84.0,"[(UA,10994,84.00),(OO,11288,37.00)]"
2025-01-01 07:00:00,3,13204,31,1,3.5806451612903225,106.0,"[(UA,13930,106.00)]"
2025-01-01 08:00:00,1,13930,58,7,11.60344827586207,269.0,"[(MQ,13244,269.00),(MQ,12339,134.00),(AA,11278,127.00),(OO,13367,126.00),(MQ,10529,51.00),(UA,12953,42.00),(UA,11292,36.00)]"
2025-01-01 08:00:00,2,12892,54,7,6.796296296296297,115.0,"[(NK,12266,115.00),(DL,10423,90.00),(DL,11298,50.00),(UA,12266,36.00),(UA,11292,35.00),(OO,14679,32.00),(UA,12173,32.00)]"
2025-01-01 08:00:00,3,11292,44,4,5.295454545454546,120.0,"[(OO,14812,120.00),(OO,12280,81.00),(F9,14679,44.00),(WN,15016,34.00)]"
2025-01-01 08:00:00,4,11298,72,4,-1.2916666666666667,86.0,"[(AA,11292,86.00),(AA,10423,56.00),(MQ,10747,39.00),(AA,11057,31.00)]"
2025-01-01 08:00:00,5,11433,38,3,4.184210526315789,79.0,"[(DL,13204,79.00),(DL,12892,65.00),(DL,14986,60.00)]"
2025-01-01 08:00:00,6,14771,32,1,4.78125,204.0,"[(OO,10372,204.00)]"
2025-01-01 08:00:00,7,10397,49,1,-2.0408163265306123,32.0,"[(DL,14771,32.00)]"
2025-01-01 08:00:00,8,10721,30,1,-3.1666666666666665,41.0,"[(UA,14771,41.00)]"
2025-01-01 08:00:00,9,13303,32,0,-0.40625,22.0,[]
2025-01-01 09:00:00,1,13930,49,9,14.775510204081632,134.0,"[(YX,12266,134.00),(OO,11003,103.00),(MQ,11066,68.00),(UA,14893,62.00),(UA,14683,57.00),(UA,10849,49.00),(YX,14122,46.00),(MQ,12278,41.00),(UA,14679,37.00)]"
2025-01-01 09:00:00,2,12892,42,6,22.80952380952381,390.0,"[(OO,13476,390.00),(OO,10372,170.00),(DL,12266,146.00),(OO,14747,143.00),(OO,10849,79.00),(NK,14831,47.00)]"
2025-01-01 09:00:00,3,11292,60,5,8.083333333333334,96.0,"[(OO,11637,96.00),(OO,11122,83.00),(WN,14908,43.00),(UA,11066,33.00),(UA,14492,32.00)]"
2025-01-01 09:00:00,4,12889,34,3,5.0588235294117645,61.0,"[(WN,12954,61.00),(WN,14679,39.00),(WN,13930,34.00)]"
2025-01-01 09:00:00,5,11298,33,1,0.36363636363636365,35.0,"[(OO,11973,35.00)]"
2025-01-01 09:00:00,6,11057,47,1,-3.106382978723404,31.0,"[(AA,11278,31.00)]"
2025-01-01 09:00:00,7,10397,53,0,-1.3773584905660377,27.0,[]
2025-01-01 09:00:00,8,14107,48,0,-1.8333333333333333,10.0,[]
2025-01-01 10:00:00,1,13930,56,6,9.964285714285714,180.0,"[(MQ,15919,180.00),(OO,14730,100.00),(OO,13342,67.00),(UA,14771,47.00),(AA,13303,40.00),(UA,12892,35.00)]"
2025-01-01 10:00:00,2,12892,38,4,12.447368421052632,214.0,"[(DL,14869,214.00),(OO,10372,120.00),(DL,13495,99.00),(OO,11638,55.00)]"
2025-01-01 10:00:00,3,11298,61,4,5.049180327868853,200.0,"[(AA,14683,200.00),(OH,15249,75.00),(AA,13891,63.00),(AA,14524,39.00)]"
2025-01-01 10:00:00,4,11292,51,2,5.9411764705882355,88.0,"[(AA,11298,88.00),(UA,12264,78.00)]"
2025-01-01 10:00:00,5,10397,42,2,1.0476190476190477,150.0,"[(DL,10713,150.00),(DL,11292,35.00)]"
2025-01-01 11:00:00,1,11292,82,7,8.414634146341463,178.0,"[(UA,13502,178.00),(OO,10372,165.00),(F9,15919,56.00),(OO,10599,40.00),(UA,14262,39.00),(OO,14457,33.00),(DL,12953,31.00)]"
2025-01-01 11:00:00,2,10397,61,4,0.7213114754098361,72.0,"[(F9,11298,72.00),(DL,13930,49.00),(DL,14307,36.00),(DL,11109,31.00)]"
2025-01-01 11:00:00,3,11057,57,3,0.9473684210526315,121.0,"[(AA,13303,121.00),(AA,14635,72.00),(AA,11624,44.00)]"
2025-01-01 11:00:00,4,14747,30,2,8.033333333333333,169.0,"[(AS,12173,169.00),(AS,14771,130.00)]"
2025-01-01 11:00:00,5,14107,42,2,3.1666666666666665,119.0,"[(WN,11066,119.00),(WN,14679,31.00)]"
2025-01-01 11:00:00,6,11298,43,2,2.4651162790697674,44.0,"[(B6,10721,44.00),(OO,14674,39.00)]"
2025-01-01 11:00:00,7,12889,31,0,1.2903225806451613,23.0,[]
2025-01-01 11:00:00,8,14869,44,0,0.045454545454545456,24.0,[]
2025-01-01 12:00:00,1,11298,67,5,4.686567164179104,143.0,"[(AA,12094,143.00),(OO,10372,88.00),(OO,11905,49.00),(AA,12264,44.00),(DL,14869,44.00)]"
2025-01-01 12:00:00,2,11292,34,4,8.176470588235293,66.0,"[(WN,14869,66.00),(WN,14683,51.00),(UA,12758,40.00),(DL,10397,35.00)]"
