"timestamp_utc","mode","query","acceleration_factor","checkpoints_before_fault","job_id","execution_started_utc","execution_ended_utc","execution_elapsed_ms","producer_elapsed_ms","completed_checkpoints_before_fault","restarts_before","restarts_after","fault_injected_at_ms","fault_detected_at_ms","restore_detected_at_ms","recovery_elapsed_ms","producer_timed_out","producer_exit_code","verification_pass","notes"
"2026-07-19T01:31:54.8586154Z","with_fault","q1","57600","1","04420157dd81e95091e1b0c0087f2c33","2026-07-19T01:28:26.9011569Z","2026-07-19T01:31:54.8586154Z","207959","184826","1","0","1","9050","49784","62077","53027","False","0","True","run=1/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-01; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T01:36:06.9428839Z","with_fault","q1","57600","1","345eff4aedde3253f9a2c8ac210caec6","2026-07-19T01:32:38.8211756Z","2026-07-19T01:36:06.9428839Z","208124","184973","1","0","1","6060","50780","63086","57026","False","0","True","run=2/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-02; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T01:40:23.3128631Z","with_fault","q1","57600","1","27d03e4ef2efca9514c2d791cb453baf","2026-07-19T01:36:51.3011108Z","2026-07-19T01:40:23.3128631Z","212016","184843","1","0","1","9068","49693","61993","52925","False","0","True","run=3/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-03; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T01:44:35.7130598Z","with_fault","q1","57600","1","b92f7e5db93d9375dbeb878bc1125b6a","2026-07-19T01:41:07.4851357Z","2026-07-19T01:44:35.7130598Z","208231","185065","1","0","1","9059","49681","58980","49921","False","0","True","run=4/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-04; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T01:48:52.0605255Z","with_fault","q1","57600","1","19066abf835434442d74707180de1561","2026-07-19T01:45:19.9331636Z","2026-07-19T01:48:52.0605255Z","212129","184975","1","0","1","9062","49717","62038","52976","False","0","True","run=5/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-05; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T01:53:08.3307192Z","with_fault","q1","57600","1","484aba0f32e9b4ce9645dcba903b1ff6","2026-07-19T01:49:36.1314865Z","2026-07-19T01:53:08.3307192Z","212201","185035","1","0","1","9067","49781","62086","53019","False","0","True","run=6/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-06; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T01:57:16.8035699Z","with_fault","q1","57600","1","e53e580b372695defba4c66b7817b584","2026-07-19T01:53:52.6262772Z","2026-07-19T01:57:16.8035699Z","204182","185045","1","0","1","12060","56776","66036","53976","False","0","True","run=7/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-07; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T02:01:28.8996540Z","with_fault","q1","57600","1","40c39f90d22648a9012b9d1e0ac2aaac","2026-07-19T01:58:00.6299575Z","2026-07-19T02:01:28.8996540Z","208290","185156","1","0","1","12059","56689","65987","53928","False","0","True","run=8/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-08; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T02:05:45.1216903Z","with_fault","q1","57600","1","6f8df094038024b8da65a7f58abf2e52","2026-07-19T02:02:12.9919491Z","2026-07-19T02:05:45.1216903Z","212174","185008","1","0","1","9042","29632","41930","32888","False","0","True","run=9/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-09; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
"2026-07-19T02:10:01.3087206Z","with_fault","q1","57600","1","f75a7d9afa518ba2e174c922b215b855","2026-07-19T02:06:29.2290227Z","2026-07-19T02:10:01.3087206Z","212125","184961","1","0","1","6051","50710","60013","53962","False","0","True","run=10/10; verification_id=q1_checkpoint_10runs_final; output=Results\fault_tolerance_verification\q1_checkpoint_10runs_final\with_fault\run-10; source_idle_timeout_ms=0; execution=producer_start_to_post_eos_checkpoint_and_final_window_consolidation; excludes docker_setup, topic_reset, preprocessing, job_submit, merge, comparison, cleanup"
