mode,query,acceleration_factor,avg_execution_elapsed_ms,avg_producer_elapsed_ms,avg_recovery_elapsed_ms
with_fault,q1,57600,200346.4,185335.3,53752.5
without_fault,q1,57600,200228.4,185218.4,
