ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-01-01 07:30:00,1,11292,32,4,7.5625,107.0,"[(B6,12478,107.00),(UA,13930,56.00),(AA,11298,54.00),(UA,12264,42.00)]"
2025-01-01 07:30:00,2,14771,30,3,15.9,480.0,"[(UA,11292,480.00),(B6,11697,70.00),(AA,14100,45.00)]"
2025-01-01 07:30:00,3,11618,34,3,8.647058823529411,267.0,"[(B6,13204,267.00),(UA,14908,67.00),(F9,14843,45.00)]"
2025-01-01 07:30:00,4,13204,44,2,0.8181818181818177,87.0,"[(F9,14100,87.00),(F9,11433,31.00)]"
2025-01-01 07:30:00,5,10721,39,1,1.7948717948717954,211.0,"[(DL,12478,211.00)]"
2025-01-01 07:30:00,6,12889,34,1,0.3235294117647061,42.0,"[(OO,12892,42.00)]"
2025-01-01 07:30:00,7,14747,30,1,-1.1666666666666665,104.0,"[(DL,12889,104.00)]"
2025-01-01 07:30:00,8,14107,31,1,-3.354838709677419,34.0,"[(F9,11042,34.00)]"
2025-01-01 07:30:00,9,12892,39,0,-1.1282051282051284,26.0,[]
2025-01-01 08:15:00,1,14679,39,8,34.12820512820514,301.0,"[(AA,13303,301.00),(OO,12892,285.00),(DL,12478,210.00),(F9,11292,191.00),(WN,14107,171.00),(UA,13930,145.00),(AS,14747,58.00),(UA,11618,55.00)]"
2025-01-01 08:15:00,2,11292,77,8,5.48051948051948,120.0,"[(OO,14812,120.00),(B6,12478,107.00),(OO,12280,81.00),(UA,13930,56.00),(AA,11298,54.00),(UA,14107,49.00),(UA,12264,42.00),(UA,10849,36.00)]"
2025-01-01 08:15:00,3,13930,78,6,2.358974358974359,134.0,"[(MQ,12339,134.00),(AA,11278,127.00),(UA,10994,84.00),(UA,11697,48.00),(UA,12953,42.00),(OO,11288,37.00)]"
2025-01-01 08:15:00,4,15304,44,5,24.090909090909093,339.0,"[(DL,12478,339.00),(UA,11618,336.00),(AA,14107,198.00),(WN,11259,148.00),(F9,15356,42.00)]"
2025-01-01 08:15:00,5,14747,61,5,3.4918032786885242,215.0,"[(DL,10721,215.00),(DL,12889,104.00),(AS,13342,54.00),(DL,12173,43.00),(DL,13303,34.00)]"
